
Using cuda
Epoch 1/250
tensor(201.7323, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.9994, device='cuda:0', grad_fn=<MulBackward0>)
tensor(197.8359, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.7435, device='cuda:0', grad_fn=<MulBackward0>)
tensor(195.4573, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.0421, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.9620, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.4291, device='cuda:0', grad_fn=<MulBackward0>)
tensor(199.5347, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.4157, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.5160, device='cuda:0', grad_fn=<MulBackward0>)
tensor(197.6445, device='cuda:0', grad_fn=<MulBackward0>)
tensor(196.0386, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.3256, device='cuda:0', grad_fn=<MulBackward0>)
tensor(197.1043, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.0055, device='cuda:0', grad_fn=<MulBackward0>)
tensor(199.5002, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.7288, device='cuda:0', grad_fn=<MulBackward0>)
tensor(197.5348, device='cuda:0', grad_fn=<MulBackward0>)
tensor(196.1347, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.5021, device='cuda:0', grad_fn=<MulBackward0>)
tensor(196.3231, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.9530, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.7183, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.1942, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.6370, device='cuda:0', grad_fn=<MulBackward0>)
tensor(195.5681, device='cuda:0', grad_fn=<MulBackward0>)
tensor(192.4660, device='cuda:0', grad_fn=<MulBackward0>)
tensor(205.0261, device='cuda:0', grad_fn=<MulBackward0>)
tensor(194.2977, device='cuda:0', grad_fn=<MulBackward0>)
tensor(204.5533, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.4000, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.0191, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.5871, device='cuda:0', grad_fn=<MulBackward0>)
tensor(193.5741, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.6337, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.7659, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.9168, device='cuda:0', grad_fn=<MulBackward0>)
tensor(208.5177, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.2264, device='cuda:0', grad_fn=<MulBackward0>)
tensor(199.1267, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.2822, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.7278, device='cuda:0', grad_fn=<MulBackward0>)
tensor(192.1582, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.8864, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.6821, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.0298, device='cuda:0', grad_fn=<MulBackward0>)
tensor(196.7003, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.6949, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.3217, device='cuda:0', grad_fn=<MulBackward0>)
tensor(196.3931, device='cuda:0', grad_fn=<MulBackward0>)
tensor(193.7524, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.3696, device='cuda:0', grad_fn=<MulBackward0>)
tensor(204.4840, device='cuda:0', grad_fn=<MulBackward0>)
tensor(203.9989, device='cuda:0', grad_fn=<MulBackward0>)
tensor(195.8706, device='cuda:0', grad_fn=<MulBackward0>)
tensor(196.8390, device='cuda:0', grad_fn=<MulBackward0>)
tensor(196.6868, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.3747, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.7727, device='cuda:0', grad_fn=<MulBackward0>)
tensor(197.4072, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.4263, device='cuda:0', grad_fn=<MulBackward0>)
tensor(195.7200, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.5955, device='cuda:0', grad_fn=<MulBackward0>)
tensor(199.2649, device='cuda:0', grad_fn=<MulBackward0>)
tensor(191.2382, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.8660, device='cuda:0', grad_fn=<MulBackward0>)
tensor(204.9206, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.3738, device='cuda:0', grad_fn=<MulBackward0>)
tensor(193.5518, device='cuda:0', grad_fn=<MulBackward0>)
tensor(190.9483, device='cuda:0', grad_fn=<MulBackward0>)
tensor(191.0931, device='cuda:0', grad_fn=<MulBackward0>)
tensor(197.0687, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.8771, device='cuda:0', grad_fn=<MulBackward0>)
tensor(203.4400, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.2380, device='cuda:0', grad_fn=<MulBackward0>)
tensor(196.6708, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.4688, device='cuda:0', grad_fn=<MulBackward0>)
tensor(197.5734, device='cuda:0', grad_fn=<MulBackward0>)
tensor(199.6721, device='cuda:0', grad_fn=<MulBackward0>)
tensor(197.9863, device='cuda:0', grad_fn=<MulBackward0>)
tensor(209.7138, device='cuda:0', grad_fn=<MulBackward0>)
tensor(205.2356, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.9364, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.0343, device='cuda:0', grad_fn=<MulBackward0>)
