
Using cuda
Epoch 1/250
tensor(198.7963, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.7555, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.2839, device='cuda:0', grad_fn=<MulBackward0>)
tensor(199.4433, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.5918, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.1318, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.5777, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.0020, device='cuda:0', grad_fn=<MulBackward0>)
tensor(193.9679, device='cuda:0', grad_fn=<MulBackward0>)
tensor(195.0256, device='cuda:0', grad_fn=<MulBackward0>)
tensor(199.8083, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.2653, device='cuda:0', grad_fn=<MulBackward0>)
tensor(208.6508, device='cuda:0', grad_fn=<MulBackward0>)
tensor(197.2776, device='cuda:0', grad_fn=<MulBackward0>)
tensor(194.8356, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.6095, device='cuda:0', grad_fn=<MulBackward0>)
tensor(203.3092, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.7521, device='cuda:0', grad_fn=<MulBackward0>)
tensor(192.0573, device='cuda:0', grad_fn=<MulBackward0>)
tensor(203.3673, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.6890, device='cuda:0', grad_fn=<MulBackward0>)
tensor(197.8523, device='cuda:0', grad_fn=<MulBackward0>)
tensor(203.5838, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.8913, device='cuda:0', grad_fn=<MulBackward0>)
tensor(199.3858, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.5561, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.9220, device='cuda:0', grad_fn=<MulBackward0>)
tensor(187.4533, device='cuda:0', grad_fn=<MulBackward0>)
tensor(195.0903, device='cuda:0', grad_fn=<MulBackward0>)
tensor(195.4981, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.9007, device='cuda:0', grad_fn=<MulBackward0>)
tensor(193.0797, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.3337, device='cuda:0', grad_fn=<MulBackward0>)
tensor(195.7948, device='cuda:0', grad_fn=<MulBackward0>)
tensor(192.9682, device='cuda:0', grad_fn=<MulBackward0>)
tensor(192.5367, device='cuda:0', grad_fn=<MulBackward0>)
tensor(203.1374, device='cuda:0', grad_fn=<MulBackward0>)
tensor(203.3522, device='cuda:0', grad_fn=<MulBackward0>)
tensor(196.9098, device='cuda:0', grad_fn=<MulBackward0>)
tensor(189.4716, device='cuda:0', grad_fn=<MulBackward0>)
tensor(212.7614, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.3905, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.5100, device='cuda:0', grad_fn=<MulBackward0>)
