
Using cuda
Epoch 1/250
tensor(201.6119, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.1037, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.8164, device='cuda:0', grad_fn=<MulBackward0>)
tensor(197.8661, device='cuda:0', grad_fn=<MulBackward0>)
tensor(197.5769, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.6178, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.9609, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.7334, device='cuda:0', grad_fn=<MulBackward0>)
tensor(196.4909, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.6624, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.2711, device='cuda:0', grad_fn=<MulBackward0>)
tensor(195.4055, device='cuda:0', grad_fn=<MulBackward0>)
tensor(203.2864, device='cuda:0', grad_fn=<MulBackward0>)
tensor(194.6734, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.6689, device='cuda:0', grad_fn=<MulBackward0>)
tensor(203.4500, device='cuda:0', grad_fn=<MulBackward0>)
tensor(199.6436, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.1944, device='cuda:0', grad_fn=<MulBackward0>)
tensor(197.9489, device='cuda:0', grad_fn=<MulBackward0>)
tensor(196.5907, device='cuda:0', grad_fn=<MulBackward0>)
tensor(199.9445, device='cuda:0', grad_fn=<MulBackward0>)
tensor(196.0965, device='cuda:0', grad_fn=<MulBackward0>)
tensor(203.0507, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.9042, device='cuda:0', grad_fn=<MulBackward0>)
tensor(197.3752, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.0993, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.2734, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.9951, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.7111, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.4232, device='cuda:0', grad_fn=<MulBackward0>)
tensor(202.3620, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.2285, device='cuda:0', grad_fn=<MulBackward0>)
tensor(200.4763, device='cuda:0', grad_fn=<MulBackward0>)
tensor(199.5394, device='cuda:0', grad_fn=<MulBackward0>)
tensor(198.5555, device='cuda:0', grad_fn=<MulBackward0>)
tensor(199.1897, device='cuda:0', grad_fn=<MulBackward0>)
tensor(197.2811, device='cuda:0', grad_fn=<MulBackward0>)
tensor(195.6421, device='cuda:0', grad_fn=<MulBackward0>)
tensor(201.9892, device='cuda:0', grad_fn=<MulBackward0>)
