
Using cuda
Epoch 1/250
tensor(45.3388, device='cuda:0', grad_fn=<MulBackward0>)
tensor(41.0768, device='cuda:0', grad_fn=<MulBackward0>)
tensor(41.0009, device='cuda:0', grad_fn=<MulBackward0>)
tensor(38.8621, device='cuda:0', grad_fn=<MulBackward0>)
tensor(36.8400, device='cuda:0', grad_fn=<MulBackward0>)
tensor(34.6228, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.8620, device='cuda:0', grad_fn=<MulBackward0>)
tensor(33.8657, device='cuda:0', grad_fn=<MulBackward0>)
tensor(33.8728, device='cuda:0', grad_fn=<MulBackward0>)
tensor(33.3216, device='cuda:0', grad_fn=<MulBackward0>)
tensor(33.0430, device='cuda:0', grad_fn=<MulBackward0>)
tensor(33.5854, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.1995, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.2429, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.0068, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.3681, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.0502, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.3841, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.0695, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.0273, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.0592, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.1722, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.9221, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.4750, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.1527, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.0670, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.3797, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.6822, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.2845, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.5753, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.8527, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.0580, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.0178, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.4546, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.1304, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.6909, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.9460, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.6065, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.3575, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.9264, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.0323, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.5314, device='cuda:0', grad_fn=<MulBackward0>)
Epoch 1 complete. Avg training loss = 54.3673
tensor(32.0813, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.0715, device='cuda:0', grad_fn=<MulBackward0>)
Epoch 2/250
tensor(32.1467, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.3321, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.8181, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.5650, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.3987, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.2804, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.0380, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.7702, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.6137, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.0723, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.0706, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.6585, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.6852, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.4090, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.7684, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.4229, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.5049, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.8422, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.2810, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.3288, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.2372, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.1286, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.8990, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.9017, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.7380, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.9531, device='cuda:0', grad_fn=<MulBackward0>)
wandb: Ctrl + C detected. Stopping sweep.
tensor(32.3470, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.8593, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.8247, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.1420, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.5674, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.1167, device='cuda:0', grad_fn=<MulBackward0>)
